Maquina,Rodada,Date,Time,Origem_Arquivo,Relógios núcleo (avg) [MHz],Relógios efetivos núcleo (avg) [MHz],Uso total da CPU [%],Carga do núcleo da GPU [%],CPU Inteira [°C],CPU Inteira [°C].1,Núcleo máximo [°C],Estrangulamento térmico do núcleo (avg) [Yes/Não],Distância do núcleo para TjMAX (avg) [°C],Potência total da CPU [W],IA: Package-Level RAPL/PBM PL1 [Yes/Não],IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não],Limite de desempenho - Térmico [Yes/Não],Relógio da memória [MHz],Taxa de leituras [MB/s],Taxa de gravações [MB/s],Potência das linhas GPU (avg) [W],GPU Clock [MHz].1,GPU Clock [MHz],Limite térmico da GPU [°C]
Máquina A,1,21.6.2026,17:31:18.357,maqA_rodada_01.CSV,2381.7,42.7,3.3,0.0,43,43,41,Não,59,4.67,Não,Não,,2593.7,0.0,0.0,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:19.339,maqA_rodada_01.CSV,2169.7,158.9,10.1,0.0,48,43,50,Não,56,4.928,Não,Não,,2593.7,0.044,0.555,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:20.344,maqA_rodada_01.CSV,3055.0,374.0,14.8,0.0,49,49,49,Não,54,7.066,Não,Não,,2593.7,0.252,0.577,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:21.347,maqA_rodada_01.CSV,3254.5,510.6,13.7,0.0,50,50,50,Não,54,10.789,Não,Não,,2593.7,0.849,0.132,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:22.344,maqA_rodada_01.CSV,3092.4,635.0,20.8,0.0,46,44,46,Não,56,16.897,Não,Não,,2593.7,0.366,1.284,0.0,0.0,350.0,0.0
Máquina A,1,21.6.2026,17:31:23.507,maqA_rodada_01.CSV,3116.6,464.2,18.3,0.0,62,58,62,Não,50,10.819,Não,Não,,2593.0,0.123,0.699,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:24.373,maqA_rodada_01.CSV,3116.6,464.2,18.3,0.0,62,58,62,Não,50,10.819,Não,Não,,2593.0,0.123,0.699,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:25.366,maqA_rodada_01.CSV,1670.9,318.6,10.5,0.0,44,44,43,Não,58,15.105,Não,Não,,2593.7,0.047,0.235,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:26.368,maqA_rodada_01.CSV,1396.6,67.9,7.5,0.0,44,44,43,Não,58,5.094,Não,Não,,2593.7,0.295,0.972,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:27.360,maqA_rodada_01.CSV,1434.0,347.8,16.1,0.0,44,44,43,Não,58,10.561,Não,Não,,2593.7,0.016,0.096,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:28.362,maqA_rodada_01.CSV,1371.6,216.2,12.0,0.0,44,44,43,Não,58,10.561,Não,Não,,2593.7,0.069,0.139,0.0,0.0,300.0,0.0
